,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,4804.87933348697
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,692.4223619735212
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,1778.731750675187
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,6279.156361010659
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,15435.19263721041
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,13340.167387571484
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,5968.782249953039
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,3175.4152504344706
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,3408.195833727685
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,3408.195833727685
10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,5503.221083366612
11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,304.45472315149755
12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,1933.9188062039962
13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,304.45472315149755
14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,1701.1382229107821
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1701.1382229107821
16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,71.67413985828352
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,18383.74669225779
18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,4882.472861251375
19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,71.67413985828352
20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,5503.221083366612
21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,382.0482509159024
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,5580.814611131016
23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,4494.50522242935
24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,7520.652805241134
25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,692.4223619735212
26,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,2011.512333968401
27,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,2787.4476116124474
28,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,925.2029452667348
29,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,3175.4152504344706
30,1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,5736.001666659826
31,0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,382.0482509159024
32,0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,3408.195833727685
33,0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,4184.131111371731
34,0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,1701.1382229107821
35,1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,5968.782249953039
36,0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,925.2029452667348
37,1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,5736.001666659826
38,0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,226.86119538709318
39,0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,71.67413985828352
40,0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,226.86119538709318
41,0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,304.45472315149755
42,0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,-316.2934989637399
43,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,71.67413985828352
44,1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,7520.652805241134
45,1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,6589.530472068276
46,1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,9460.49099935125
47,0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,1701.1382229107821
48,0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,226.86119538709318
49,0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,5037.659916780183
50,0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,1701.1382229107821
51,1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,6434.343416539468
52,1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,8063.807499591967
53,0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,226.86119538709318
54,0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,3175.4152504344706
55,1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,8218.994555120777
56,0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,-471.4805544925491
57,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,4727.285805722566
58,1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,5736.001666659826
59,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,5658.408138895422
60,0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,2011.512333968401
61,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,382.0482509159024
62,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,3253.0087781988755
